,Gene_symbol,Entrez_ID,Value_count
0,CCT6P1,643253,1930
1,STAG3L4,64940,1805
2,ZNF117,51351,1668
3,LOC399744,399744,1437
4,FAM182B,728882,1435
5,BTN3A2,11118,1377
6,LOC168474,168474,1340
7,GUSBL2,375513,1290
8,TYW1,55253,1273
9,LOC84856,84856,1224
10,C2orf74,339804,1219
11,ZNF781,163115,1160
12,ZSCAN23,222696,1073
13,NUDT2,318,1056
14,GYPE,2996,1031
15,WFDC3,140686,1006
16,MANBA,4126,964
17,C10orf32,119032,963
18,CCDC163P,126661,962
19,LOC493754,493754,955
20,TSGA10,80705,937
21,INTS4L1,285905,919
22,MASTL,84930,852
23,AHSA2,130872,850
24,LIPT1,51601,844
25,COL21A1,81578,844
26,C2orf86,51057,805
27,CRCP,27297,797
28,SYT10,341359,788
29,C21orf57,54059,775
30,ERAP2,64167,775
31,TEX264,51368,770
32,LOC441666,441666,770
33,SNHG5,387066,768
34,COX7A2L,9167,763
35,CENPQ,55166,751
36,N6AMT1,29104,749
37,NCRNA00189,193629,742
38,C6orf164,63914,740
39,OXCT1,5019,723
40,PSG4,5672,721
41,C1orf190,541468,720
42,CPNE1,8904,709
43,FAM182A,284800,707
44,UCA1,652995,687
45,C10orf68,79741,672
46,DDX11L2,84771,667
47,OR7D2,162998,665
48,DHFR,1719,661
49,ZNF492,57615,655
50,SLC2A9,56606,648
51,MUT,4594,646
52,POLI,11201,646
53,CLECL1,160365,644
54,ZNF266,10781,630
55,ERAP1,51752,629
56,LY75,4065,622
57,GLIPR1L2,144321,617
58,ZNF323,64288,616
59,MUTYH,4595,607
60,CST7,8530,599
61,ZNF846,162993,596
62,C21orf56,84221,595
63,GTF2A1L,11036,593
64,LOC375190,375190,584
65,NLRC4,58484,578
66,ZNF793,390927,578
67,FLJ45340,402483,571
68,XKR9,389668,567
69,RGPD4,285190,565
70,FAHD1,81889,565
71,LOC90784,90784,560
72,MSH3,4437,559
73,OR2A7,401427,559
74,CYP4F11,57834,556
75,EVI5,7813,556
76,EFHB,151651,548
77,ST3GAL5,8869,548
78,LGSN,51557,540
79,DYM,54808,534
80,TBCK,93627,533
81,GMPPB,29925,533
82,SERPINC1,462,532
83,CTSS,1520,529
84,CST1,1469,527
85,ARHGEF35,445328,527
86,SENP7,57337,524
87,HIBCH,26275,523
88,STON1-GTF2A1L,286749,523
89,PPIL3,53938,521
90,AMTN,401138,520
91,PIGN,23556,519
92,C9orf130,100128782,507
93,EME2,197342,503
94,LOC253039,253039,500
95,RPL23AP7,118433,498
96,IQCB1,9657,498
97,CCDC30,728621,494
98,PPIP5K2,23262,492
99,UGT2B4,7363,486
100,ACSM1,116285,486
101,GBP3,2635,485
102,PFN4,375189,485
103,PPAP2A,8611,484
104,WARS2,10352,484
105,ZNF391,346157,480
106,LIN52,91750,478
107,MUC7,4589,476
108,METTL2B,55798,474
109,BTN2A3,54718,473
110,CCBL2,56267,472
111,LOC441294,441294,470
112,FLJ37201,283011,466
113,CNGA1,1259,465
114,DDX11,1663,464
115,PTGR2,145482,464
116,FAM55C,91775,463
117,MYLK2,85366,459
118,FGD4,121512,457
119,MSH6,2956,456
120,FCHO2,115548,455
121,BEND6,221336,455
122,NAAA,27163,454
123,SFXN2,118980,450
124,ZNF429,353088,449
125,LOC100125556,100125556,447
126,STAP1,26228,441
127,PHOSPHO2,493911,440
128,NSUN6,221078,438
129,L1TD1,54596,438
130,WDR6,11180,437
131,SCAPER,49855,436
132,ENTPD1,953,433
133,NME7,29922,431
134,SMR3B,10879,430
135,UHRF1BP1,54887,424
136,SUPT3H,8464,424
137,GOLGA6L9,440295,424
138,TREX1,11277,423
139,CCDC91,55297,422
140,CCDC36,339834,421
141,RPL9,6133,420
142,FBN2,2201,420
143,MLF1IP,79682,419
144,HAPLN4,404037,419
145,ZNF568,374900,418
146,ITIH4,3700,416
147,ZFAND2A,90637,416
148,ZNF589,51385,414
149,MS4A4A,51338,414
150,DIRC1,116093,413
151,CST2,1470,409
152,HMGN1,3150,409
153,ZNF155,7711,409
154,AS3MT,57412,407
155,TYW1B,441250,405
156,ST7L,54879,402
157,UGT2B7,7364,400
158,C15orf57,90416,400
159,SOHLH2,54937,399
160,NHEDC1,150159,398
161,PDHB,5162,397
162,LOC642846,642846,397
163,SH3YL1,26751,396
164,BTN2A2,10385,394
165,TMEM165,55858,394
166,PSMG1,8624,391
167,SLC22A5,6584,391
168,ZNF772,400720,390
169,HORMAD1,84072,390
170,ZNF502,91392,390
171,CCDC73,493860,389
172,RWDD2B,10069,388
173,MYO1H,283446,386
174,LOC550112,550112,386
175,MMP24,10893,384
176,SPRR1A,6698,383
177,C10orf107,219621,383
178,ZNF607,84775,383
179,ZMAT2,153527,380
180,SPDYE2,441273,380
181,ZNF773,374928,377
182,WDR55,54853,377
183,CASP9,842,377
184,POU4F3,5459,376
185,TCTEX1D1,200132,375
186,GNRHR,2798,375
187,PDLIM4,8572,372
188,C1orf156,92342,371
189,LCLAT1,253558,367
190,HSD17B12,51144,366
191,LQK1,642946,365
192,ZNF419,79744,363
193,SPCS1,28972,355
194,HELLS,3070,353
195,C6orf162,57150,353
196,TIMM10,26519,353
197,SEC31B,25956,352
198,SLC7A9,11136,352
199,LOC80154,80154,346
200,WDR60,55112,345
201,FCRL3,115352,344
202,MADD,8567,341
203,ANAPC13,25847,341
204,PCDHA10,56139,337
205,TDRD5,163589,336
206,UBQLNL,143630,336
207,RSRC1,51319,334
208,LOC100134868,100134868,334
209,VN1R1,57191,334
210,ZNF187,7741,333
211,APIP,51074,332
212,NSUN4,387338,330
213,CCDC53,51019,330
214,VWDE,221806,328
215,IQCH,64799,327
216,PIGP,51227,327
217,ZNF593,51042,324
218,GNG10,2790,324
219,NUDT13,25961,324
220,MCM3AP,8888,324
221,CILP2,148113,323
222,LYRM5,144363,323
223,POMZP3,22932,322
224,ANKRD36B,57730,322
225,C14orf33,100129075,322
226,MRPS30,10884,321
227,INVS,27130,320
228,SPPL2A,84888,319
229,ZNF404,342908,318
230,ITPA,3704,318
231,STX17,55014,318
232,UROS,7390,317
233,FIGNL1,63979,317
234,LOC374443,374443,317
235,ALDH8A1,64577,316
236,MITD1,129531,316
237,AKR1C3,8644,315
238,C7orf44,55744,315
239,C6orf163,206412,315
240,C13orf38,728591,314
241,ZNF738,148203,313
242,ZNF257,113835,313
243,PRPH2,5961,312
244,ZNF493,284443,311
245,TRMT61B,55006,311
246,C6orf41,100133205,310
247,PLK1S1,55857,310
248,PPP2R3C,55012,310
249,C7orf63,79846,307
250,TRIM66,9866,307
251,PYGB,5834,306
252,GPX7,2882,306
253,UPK3B,80761,306
254,HS2ST1,9653,306
255,STOX1,219736,306
256,ZRANB3,84083,305
257,ATG10,83734,304
258,PYROXD2,84795,303
259,LYZ,4069,302
260,KRT6C,286887,302
261,AVL9,23080,301
262,SMPD2,6610,301
263,SNCA,6622,299
264,LINGO1,84894,299
265,ZKSCAN2,342357,299
266,GBP7,388646,298
267,MCOLN2,255231,298
268,C5orf35,133383,298
269,WDR87,83889,297
270,SIRPB1,10326,297
271,CCDC7,221016,296
272,ARPP19,10776,295
273,FAM119B,25895,294
274,SPATA5L1,79029,294
275,XRCC6BP1,91419,294
276,GTPBP10,85865,294
277,IL20RB,53833,293
278,ADCK1,57143,293
279,NXPH1,30010,292
280,TSFM,10102,291
281,GGT7,2686,291
282,LRRC19,64922,290
283,SPINK5,11005,290
284,COX4I2,84701,290
285,ZMYND12,84217,289
286,ULK4,54986,289
287,P4HTM,54681,288
288,FRG1B,284802,288
289,CEP63,80254,288
290,C11orf46,120534,288
291,NEK11,79858,286
292,HAAO,23498,285
293,NCAPG,64151,284
294,CCDC152,100129792,284
295,LOC388152,388152,284
296,UQCC,55245,283
297,ZSCAN12,9753,282
298,FAM162B,221303,282
299,DGCR10,26222,281
300,IBSP,3381,279
301,MRPL35,51318,279
302,METT5D1,196074,278
303,MAEL,84944,277
304,PBLD,64081,276
305,FAM160A1,729830,276
306,TMEM180,79847,275
307,AKR1E2,83592,275
308,C2orf63,130162,274
309,ZNF208,7757,274
310,C9orf44,158314,271
311,GRK4,2868,271
312,ZNF682,91120,271
313,CHPT1,56994,271
314,ALS2CR12,130540,271
315,NCKIPSD,51517,270
316,TIMD4,91937,268
317,CENPC1,1060,268
318,ADH1C,126,268
319,FBXO30,84085,267
320,LEKR1,389170,267
321,LOC338651,338651,267
322,FAM71F2,346653,267
323,TRIM4,89122,264
324,SLC41A3,54946,264
325,TTC32,130502,264
326,LOC253724,253724,264
327,KLRAQ1,129285,264
328,GCC2,9648,263
329,PI4KAP2,375133,263
330,VCAM1,7412,263
331,AKAP3,10566,261
332,PROCR,10544,261
333,LOC100270746,100270746,261
334,KRTCAP3,200634,261
335,CPA5,93979,261
336,KATNAL2,83473,260
337,ATP6AP1L,92270,260
338,PPP6C,5537,260
339,TDGF1,6997,259
340,ZNF709,163051,258
341,C2orf84,653140,257
342,ZNF561,93134,257
343,FAM154B,283726,256
344,AKD1,221264,256
345,ALOX5,240,255
346,MRPL39,54148,255
347,SFTA3,253970,254
348,GABRA2,2555,254
349,ALG1L,200810,254
350,ERP27,121506,254
351,ZNF389,651302,254
352,ST8SIA4,7903,254
353,KIAA1586,57691,253
354,SPINK6,404203,253
355,TCP11L1,55346,253
356,ZNF786,136051,252
357,ALDH5A1,7915,252
358,GPLD1,2822,252
359,GALC,2581,251
360,NKX2-1,7080,251
361,BAK1,578,250
362,HIST1H3E,8353,250
363,PGD,5226,249
364,CNTLN,54875,249
365,TTC18,118491,249
366,MYBPC3,4607,248
367,C2orf54,79919,248
368,CCR5,1234,248
369,LOC387647,387647,247
370,TDH,157739,247
371,CD177,57126,247
372,SLC22A10,387775,246
373,POLR1A,25885,246
374,LOC441204,441204,246
375,SULT1C2,6819,246
376,CCDC17,149483,246
377,FLJ40852,285962,245
378,MS4A14,84689,245
379,C3orf55,152078,245
380,ERCC8,1161,243
381,USP44,84101,243
382,NOM1,64434,243
383,ZNF425,155054,243
384,KLHL5,51088,243
385,CST4,1472,243
386,HMGCLL1,54511,242
387,PNLDC1,154197,241
388,C9orf43,257169,240
389,DGCR11,25786,240
390,TRIM59,286827,240
391,UNC50,25972,240
392,RUVBL1,8607,239
393,TMEM140,55281,238
394,LOC100101266,100101266,238
395,SLC38A11,151258,238
396,TULP3,7289,237
397,CD37,951,237
398,CMAH,8418,237
399,KHK,3795,237
400,NRBF2,29982,237
401,CAPS2,84698,237
402,CWF19L1,55280,236
403,SYPL2,284612,236
404,CELF4,56853,235
405,LHFPL5,222662,235
406,C10orf129,142827,235
407,GEN1,348654,235
408,REEP1,65055,235
409,RFX8,731220,234
410,GPNMB,10457,234
411,DNAH5,1767,234
412,IL18R1,8809,233
413,SEPP1,6414,233
414,FAAH,2166,232
415,KRTAP5-2,440021,232
416,NEK10,152110,231
417,FLG,2312,231
418,BAIAP2L1,55971,229
419,IL1RN,3557,229
420,FAM26F,441168,228
421,C2orf52,151477,228
422,SULT1A1,6817,228
423,DSG1,1828,228
424,SEC22A,26984,227
425,PMCH,5367,227
426,WDSUB1,151525,227
427,ZNF181,339318,227
428,RPS23,6228,226
429,HEATR4,399671,226
430,PYROXD1,79912,225
431,ESPNL,339768,225
432,PLAC9,219348,225
433,THNSL2,55258,225
434,DHX36,170506,224
435,CASP7,840,224
436,TAS2R4,50832,224
437,DR1,1810,223
438,TRIP4,9325,223
439,PAWR,5074,223
440,ALMS1P,200420,223
441,CDC26,246184,223
442,LOC100128164,100128164,222
443,TMEM87B,84910,222
444,ZNF322A,79692,222
445,ZNF559,84527,222
446,DGCR9,25787,222
447,TRIM63,84676,222
448,KRT1,3848,221
449,ITGB3BP,23421,221
450,ZFP14,57677,221
451,WDYHV1,55093,221
452,CTSW,1521,221
453,MBL1P,8512,221
454,CDC7,8317,221
455,ETAA1,54465,220
456,PACRG,135138,220
457,CTSH,1512,219
458,TP53INP2,58476,219
459,TMEM194B,100131211,219
460,LRRIQ3,127255,218
461,C2orf28,51374,218
462,C12orf47,51275,218
463,ZNF98,148198,218
464,TAF1B,9014,218
465,ATP6V1E2,90423,216
466,C16orf75,116028,216
467,LOC441208,441208,216
468,C6orf127,340204,216
469,TAPBPL,55080,215
470,LOC151174,151174,215
471,TIPIN,54962,215
472,LOC654433,654433,215
473,HTR1F,3355,215
474,C17orf57,124989,215
475,SBDSP1,155370,214
476,MTHFS,10588,214
477,NME6,10201,213
478,EIF3CL,728689,213
479,KCTD10,83892,212
480,TMEM163,81615,212
481,CENPP,401541,212
482,MED19,219541,211
483,SERPIND1,3053,211
484,WRB,7485,211
485,LOC647946,647946,211
486,AP4E1,23431,210
487,CLEC2D,29121,210
488,TMEM60,85025,210
489,RAB33B,83452,210
490,NDUFV3,4731,209
491,DEPDC7,91614,209
492,TRAF1,7185,208
493,OR2A9P,441295,208
494,WBSCR27,155368,208
495,SERINC2,347735,208
496,KLRC2,3822,207
497,MMACHC,25974,207
498,EIF3C,8663,207
499,DKKL1,27120,206
500,CEBPZ,10153,206
501,PENK,5179,206
502,ZNF184,7738,206
503,CHST13,166012,206
504,CPS1,1373,205
505,FUT10,84750,205
506,POLR1B,84172,205
507,CRIPT,9419,205
508,KIAA0090,23065,204
509,DCTN5,84516,204
510,RPAP2,79871,204
511,CCDC155,147872,203
512,OR56A3,390083,203
513,FABP3,2170,203
514,CLEC12A,160364,203
515,C18orf10,25941,202
516,CCDC18,343099,202
517,LOC650623,650623,201
518,RPSA,3921,201
519,C15orf51,196968,200
520,SLMO1,10650,200
521,OR13A1,79290,200
522,CAT,847,200
523,PCBP3,54039,199
524,OAS1,4938,199
525,ZP3,7784,199
526,STAC,6769,199
527,C2orf27A,29798,198
528,PCNX,22990,198
529,LRRC69,100130742,198
530,CCDC111,201973,197
531,ZNF79,7633,197
532,POLR1E,64425,197
533,MED21,9412,197
534,ANO7,50636,197
535,NRBP1,29959,197
536,LDHC,3948,197
537,OR2A1,346528,196
538,FAM149B1,317662,196
539,HSPA4,3308,196
540,RRP12,23223,196
541,GATC,283459,195
542,COQ5,84274,194
543,OPA1,4976,194
544,TACR2,6865,194
545,LCT,3938,194
546,C2orf3,6936,193
547,TPRKB,51002,193
548,C2orf82,389084,192
549,MDGA1,266727,192
550,PET112L,5188,192
551,GPR113,165082,192
552,LOC284900,284900,192
553,C9orf5,23731,191
554,CCDC90B,60492,191
555,KLRC1,3821,190
556,LOC284551,284551,190
557,KLRG1,10219,190
558,SUCLA2,8803,190
559,SIGLEC11,114132,190
560,PLOD2,5352,189
561,CRISP3,10321,189
562,MRPL42P5,359821,189
563,C2orf73,129852,189
564,GFM1,85476,189
565,C1orf84,149469,189
566,FAM82A1,151393,189
567,PRIM2,5558,188
568,NUP210L,91181,188
569,ARHGEF19,128272,188
570,NDUFS2,4720,188
571,CDC25A,993,187
572,C10orf4,118924,187
573,IPO8,10526,187
574,GOLT1B,51026,187
575,HARS2,23438,187
576,PDPK1,5170,187
577,SLC9A8,23315,186
578,PEX6,5190,186
579,RINT1,60561,186
580,VWA2,340706,186
581,MRPL21,219927,186
582,ACTN3,89,185
583,C12orf32,83695,185
584,SIGLEC16,400709,185
585,TMEM156,80008,184
586,TG,7038,184
587,NIPAL4,348938,184
588,SLC4A7,9497,184
589,SCGN,10590,183
590,SH3BGR,6450,183
591,RNASET2,8635,183
592,PAX8,7849,183
593,SLC5A11,115584,183
594,C3orf15,89876,183
595,NDUFA10,4705,183
596,SNX16,64089,183
597,PNPT1,87178,183
598,TMEM115,11070,183
