"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"301"	"IBSP"	3381	279	"IBSP"	"ENSG00000029559"	"4"
"302"	"MRPL35"	51318	279	"MRPL35"	"ENSG00000132313"	"2"
"303"	"METT5D1"	196074	278	"METTL15"	"ENSG00000169519"	"11"
"304"	"MAEL"	84944	277	"MAEL"	"ENSG00000143194"	"1"
"305"	"PBLD"	64081	276	"PBLD"	"ENSG00000108187"	"10"
"306"	"FAM160A1"	729830	276	"FAM160A1"	"ENSG00000164142"	"4"
"307"	"TMEM180"	79847	275	"MFSD13A"	"ENSG00000138111"	"10"
"308"	"AKR1E2"	83592	275	"AKR1E2"	"ENSG00000165568"	"10"
"309"	"C2orf63"	130162	274	"CLHC1"	"ENSG00000162994"	"2"
"310"	"ZNF208"	7757	274	"ZNF208"	"ENSG00000160321"	"19"
"311"	"C9orf44"	158314	271	NA	NA	NA
"312"	"GRK4"	2868	271	"GRK4"	"ENSG00000125388"	"4"
"313"	"ZNF682"	91120	271	"ZNF682"	"ENSG00000197124"	"19"
"314"	"CHPT1"	56994	271	"CHPT1"	"ENSG00000111666"	"12"
"315"	"ALS2CR12"	130540	271	"FLACC1"	"ENSG00000155749"	"2"
"316"	"NCKIPSD"	51517	270	"NCKIPSD"	"ENSG00000213672"	"3"
"317"	"TIMD4"	91937	268	"TIMD4"	"ENSG00000145850"	"5"
"318"	"CENPC1"	1060	268	"CENPC"	"ENSG00000145241"	"4"
"319"	"ADH1C"	126	268	"ADH1C"	"ENSG00000248144"	"4"
"320"	"FBXO30"	84085	267	"FBXO30"	"ENSG00000118496"	"6"
"321"	"LEKR1"	389170	267	"LEKR1"	"ENSG00000197980"	"3"
"322"	"LOC338651"	338651	267	"KRTAP5-AS1"	"ENSG00000233930"	"11"
"323"	"FAM71F2"	346653	267	"FAM71F2"	"ENSG00000205085"	"7"
"324"	"TRIM4"	89122	264	"TRIM4"	"ENSG00000146833"	"7"
"325"	"SLC41A3"	54946	264	"SLC41A3"	"ENSG00000114544"	"3"
"326"	"TTC32"	130502	264	"TTC32"	"ENSG00000183891"	"2"
"327"	"LOC253724"	253724	264	NA	NA	NA
"328"	"KLRAQ1"	129285	264	"PPP1R21"	"ENSG00000162869"	"2"
"329"	"GCC2"	9648	263	"GCC2"	"ENSG00000135968"	"2"
"330"	"PI4KAP2"	375133	263	NA	NA	NA
"331"	"VCAM1"	7412	263	"VCAM1"	"ENSG00000162692"	"1"
"332"	"AKAP3"	10566	261	"AKAP3"	"ENSG00000111254"	"12"
"333"	"PROCR"	10544	261	"PROCR"	"ENSG00000101000"	"20"
"334"	"LOC100270746"	100270746	261	NA	NA	NA
"335"	"KRTCAP3"	200634	261	"KRTCAP3"	"ENSG00000157992"	"2"
"336"	"CPA5"	93979	261	"CPA5"	"ENSG00000158525"	"7"
"337"	"KATNAL2"	83473	260	"KATNAL2"	"ENSG00000167216"	"18"
"338"	"ATP6AP1L"	92270	260	"ATP6AP1L"	"ENSG00000205464"	"5"
"339"	"PPP6C"	5537	260	"PPP6C"	"ENSG00000119414"	"9"
"340"	"TDGF1"	6997	259	"TDGF1"	"ENSG00000241186"	"3"
"341"	"ZNF709"	163051	258	"ZNF709"	"ENSG00000242852"	"19"
"342"	"C2orf84"	653140	257	"FAM228A"	"ENSG00000186453"	"2"
"343"	"ZNF561"	93134	257	"ZNF561"	"ENSG00000171469"	"19"
"344"	"FAM154B"	283726	256	"SAXO2"	"ENSG00000188659"	"15"
"345"	"AKD1"	221264	256	"AK9"	"ENSG00000155085"	"6"
"346"	"ALOX5"	240	255	"ALOX5"	"ENSG00000012779"	"10"
"347"	"MRPL39"	54148	255	"MRPL39"	"ENSG00000154719"	"21"
"348"	"SFTA3"	253970	254	""	"ENSG00000257520"	"14"
"349"	"GABRA2"	2555	254	"GABRA2"	"ENSG00000151834"	"4"
"350"	"ALG1L"	200810	254	"ALG1L"	"ENSG00000189366"	"3"
"351"	"ERP27"	121506	254	"ERP27"	"ENSG00000139055"	"12"
"352"	"ZNF389"	651302	254	"ZNF192P1"	"ENSG00000226314"	"6"
"353"	"ST8SIA4"	7903	254	"ST8SIA4"	"ENSG00000113532"	"5"
"354"	"KIAA1586"	57691	253	"KIAA1586"	"ENSG00000168116"	"6"
"355"	"SPINK6"	404203	253	"SPINK6"	"ENSG00000178172"	"5"
"356"	"TCP11L1"	55346	253	"TCP11L1"	"ENSG00000176148"	"11"
"357"	"ZNF786"	136051	252	"ZNF786"	"ENSG00000197362"	"7"
"358"	"ALDH5A1"	7915	252	"ALDH5A1"	"ENSG00000112294"	"6"
"359"	"GPLD1"	2822	252	"GPLD1"	"ENSG00000112293"	"6"
"360"	"GALC"	2581	251	"GALC"	"ENSG00000054983"	"14"
"361"	"NKX2-1"	7080	251	"NKX2-1"	"ENSG00000136352"	"14"
"362"	"BAK1"	578	250	"BAK1"	"ENSG00000030110"	"6"
"363"	"HIST1H3E"	8353	250	"H3C6"	"ENSG00000274750"	"6"
"364"	"PGD"	5226	249	"PGD"	"ENSG00000142657"	"1"
"365"	"CNTLN"	54875	249	"CNTLN"	"ENSG00000044459"	"9"
"366"	"TTC18"	118491	249	"CFAP70"	"ENSG00000156042"	"10"
"367"	"MYBPC3"	4607	248	"MYBPC3"	"ENSG00000134571"	"11"
"368"	"C2orf54"	79919	248	"MAB21L4"	"ENSG00000172478"	"2"
"369"	"CCR5"	1234	248	"CCR5"	"ENSG00000160791"	"3"
"370"	"LOC387647"	387647	247	NA	NA	NA
"371"	"TDH"	157739	247	"TDH"	"ENSG00000154316"	"8"
"372"	"CD177"	57126	247	"CD177"	"ENSG00000204936"	"19"
"373"	"SLC22A10"	387775	246	"SLC22A10"	"ENSG00000184999"	"11"
"374"	"POLR1A"	25885	246	"POLR1A"	"ENSG00000068654"	"2"
"375"	"LOC441204"	441204	246	NA	NA	NA
"376"	"SULT1C2"	6819	246	"SULT1C2"	"ENSG00000198203"	"2"
"377"	"CCDC17"	149483	246	"CCDC17"	"ENSG00000159588"	"1"
"378"	"FLJ40852"	285962	245	"WEE2-AS1"	"ENSG00000228775"	"7"
"379"	"MS4A14"	84689	245	"MS4A14"	"ENSG00000166928"	"11"
"380"	"C3orf55"	152078	245	"SLC66A1L"	"ENSG00000174899"	"3"
"381"	"ERCC8"	1161	243	"ERCC8"	"ENSG00000049167"	"5"
"382"	"USP44"	84101	243	"USP44"	"ENSG00000136014"	"12"
"383"	"NOM1"	64434	243	"NOM1"	"ENSG00000146909"	"7"
"384"	"ZNF425"	155054	243	"ZNF425"	"ENSG00000204947"	"7"
"385"	"KLHL5"	51088	243	"KLHL5"	"ENSG00000109790"	"4"
"386"	"CST4"	1472	243	"CST4"	"ENSG00000101441"	"20"
"387"	"HMGCLL1"	54511	242	"HMGCLL1"	"ENSG00000146151"	"6"
"388"	"PNLDC1"	154197	241	"PNLDC1"	"ENSG00000146453"	"6"
"389"	"C9orf43"	257169	240	"C9orf43"	"ENSG00000157653"	"9"
"390"	"DGCR11"	25786	240	"DGCR11"	"ENSG00000273311"	"22"
"391"	"TRIM59"	286827	240	"TRIM59"	"ENSG00000213186"	"3"
"392"	"UNC50"	25972	240	"UNC50"	"ENSG00000115446"	"2"
"393"	"RUVBL1"	8607	239	"RUVBL1"	"ENSG00000175792"	"3"
"394"	"TMEM140"	55281	238	"TMEM140"	"ENSG00000146859"	"7"
"395"	"LOC100101266"	100101266	238	NA	NA	NA
"396"	"SLC38A11"	151258	238	"SLC38A11"	"ENSG00000169507"	"2"
"397"	"TULP3"	7289	237	"TULP3"	"ENSG00000078246"	"12"
"398"	"CD37"	951	237	"CD37"	"ENSG00000104894"	"19"
"399"	"CMAH"	8418	237	NA	NA	NA
"400"	"KHK"	3795	237	"KHK"	"ENSG00000138030"	"2"
"401"	"NRBF2"	29982	237	"NRBF2"	"ENSG00000148572"	"10"
"402"	"CAPS2"	84698	237	"CAPS2"	"ENSG00000180881"	"12"
"403"	"CWF19L1"	55280	236	"CWF19L1"	"ENSG00000095485"	"10"
"404"	"SYPL2"	284612	236	"SYPL2"	"ENSG00000143028"	"1"
"405"	"CELF4"	56853	235	"CELF4"	"ENSG00000101489"	"18"
"406"	"LHFPL5"	222662	235	"LHFPL5"	"ENSG00000197753"	"6"
"407"	"C10orf129"	142827	235	"ACSM6"	"ENSG00000173124"	"10"
"408"	"GEN1"	348654	235	"GEN1"	"ENSG00000178295"	"2"
"409"	"REEP1"	65055	235	"REEP1"	"ENSG00000068615"	"2"
"410"	"RFX8"	731220	234	"RFX8"	"ENSG00000196460"	"2"
"411"	"GPNMB"	10457	234	"GPNMB"	"ENSG00000136235"	"7"
"412"	"DNAH5"	1767	234	"DNAH5"	"ENSG00000039139"	"5"
"413"	"IL18R1"	8809	233	"IL18R1"	"ENSG00000115604"	"2"
"414"	"SEPP1"	6414	233	"SELENOP"	"ENSG00000250722"	"5"
"415"	"FAAH"	2166	232	"FAAH"	"ENSG00000117480"	"1"
"416"	"KRTAP5-2"	440021	232	"KRTAP5-2"	"ENSG00000205867"	"11"
"417"	"NEK10"	152110	231	"NEK10"	"ENSG00000163491"	"3"
"418"	"FLG"	2312	231	"FLG"	"ENSG00000143631"	"1"
"419"	"BAIAP2L1"	55971	229	"BAIAP2L1"	"ENSG00000006453"	"7"
"420"	"IL1RN"	3557	229	"IL1RN"	"ENSG00000136689"	"2"
"421"	"FAM26F"	441168	228	"CALHM6"	"ENSG00000188820"	"6"
"422"	"C2orf52"	151477	228	"LINC00471"	"ENSG00000181798"	"2"
"423"	"SULT1A1"	6817	228	"SULT1A1"	"ENSG00000196502"	"16"
"424"	"DSG1"	1828	228	"DSG1"	"ENSG00000134760"	"18"
"425"	"SEC22A"	26984	227	"SEC22A"	"ENSG00000121542"	"3"
"426"	"PMCH"	5367	227	"PMCH"	"ENSG00000183395"	"12"
"427"	"WDSUB1"	151525	227	"WDSUB1"	"ENSG00000196151"	"2"
"428"	"ZNF181"	339318	227	"ZNF181"	"ENSG00000197841"	"19"
"429"	"RPS23"	6228	226	"RPS23"	"ENSG00000186468"	"5"
"430"	"HEATR4"	399671	226	"HEATR4"	"ENSG00000187105"	"14"
"431"	"PYROXD1"	79912	225	"PYROXD1"	"ENSG00000121350"	"12"
"432"	"ESPNL"	339768	225	"ESPNL"	"ENSG00000144488"	"2"
"433"	"PLAC9"	219348	225	"PLAC9"	"ENSG00000189129"	"10"
"434"	"THNSL2"	55258	225	"THNSL2"	"ENSG00000144115"	"2"
"435"	"DHX36"	170506	224	"DHX36"	"ENSG00000174953"	"3"
"436"	"CASP7"	840	224	"CASP7"	"ENSG00000165806"	"10"
"437"	"TAS2R4"	50832	224	"TAS2R4"	"ENSG00000127364"	"7"
"438"	"DR1"	1810	223	"DR1"	"ENSG00000117505"	"1"
"439"	"TRIP4"	9325	223	"TRIP4"	"ENSG00000103671"	"15"
"440"	"PAWR"	5074	223	"PAWR"	"ENSG00000177425"	"12"
"441"	"ALMS1P"	200420	223	"ALMS1P1"	"ENSG00000163016"	"2"
"442"	"CDC26"	246184	223	"CDC26"	"ENSG00000176386"	"9"
"443"	"LOC100128164"	100128164	222	""	"ENSG00000239219"	"3"
"444"	"TMEM87B"	84910	222	"TMEM87B"	"ENSG00000153214"	"2"
"445"	"ZNF322A"	79692	222	"ZNF322"	"ENSG00000181315"	"6"
"446"	"ZNF559"	84527	222	"ZNF559"	"ENSG00000188321"	"19"
"447"	"DGCR9"	25787	222	NA	NA	NA
"448"	"TRIM63"	84676	222	"TRIM63"	"ENSG00000158022"	"1"
"449"	"KRT1"	3848	221	"KRT1"	"ENSG00000167768"	"12"
"450"	"ITGB3BP"	23421	221	"ITGB3BP"	"ENSG00000142856"	"1"
"451"	"ZFP14"	57677	221	"ZFP14"	"ENSG00000142065"	"19"
"452"	"WDYHV1"	55093	221	"NTAQ1"	"ENSG00000156795"	"8"
"453"	"CTSW"	1521	221	"CTSW"	"ENSG00000172543"	"11"
"454"	"MBL1P"	8512	221	"MBL1P"	"ENSG00000242600"	"10"
"455"	"CDC7"	8317	221	"CDC7"	"ENSG00000097046"	"1"
"456"	"ETAA1"	54465	220	"ETAA1"	"ENSG00000143971"	"2"
"457"	"PACRG"	135138	220	"PACRG"	"ENSG00000112530"	"6"
"458"	"CTSH"	1512	219	"CTSH"	"ENSG00000103811"	"15"
"459"	"TP53INP2"	58476	219	"TP53INP2"	"ENSG00000078804"	"20"
"460"	"TMEM194B"	100131211	219	"NEMP2"	"ENSG00000189362"	"2"
"461"	"LRRIQ3"	127255	218	"LRRIQ3"	"ENSG00000162620"	"1"
"462"	"C2orf28"	51374	218	"ATRAID"	"ENSG00000138085"	"2"
"463"	"C12orf47"	51275	218	"MAPKAPK5-AS1"	"ENSG00000234608"	"12"
"464"	"ZNF98"	148198	218	"ZNF98"	"ENSG00000197360"	"19"
"465"	"TAF1B"	9014	218	"TAF1B"	"ENSG00000115750"	"2"
"466"	"ATP6V1E2"	90423	216	"ATP6V1E2"	"ENSG00000250565"	"2"
"467"	"C16orf75"	116028	216	"RMI2"	"ENSG00000175643"	"16"
"468"	"LOC441208"	441208	216	NA	NA	NA
"469"	"C6orf127"	340204	216	"CLPSL1"	"ENSG00000204140"	"6"
"470"	"TAPBPL"	55080	215	"TAPBPL"	"ENSG00000139192"	"12"
"471"	"LOC151174"	151174	215	"LINC02610"	"ENSG00000186235"	"2"
"472"	"TIPIN"	54962	215	"TIPIN"	"ENSG00000075131"	"15"
"473"	"LOC654433"	654433	215	"PAX8-AS1"	"ENSG00000189223"	"2"
"474"	"HTR1F"	3355	215	"HTR1F"	"ENSG00000179097"	"3"
"475"	"C17orf57"	124989	215	"EFCAB13"	"ENSG00000178852"	"17"
"476"	"SBDSP1"	155370	214	NA	NA	NA
"477"	"MTHFS"	10588	214	"MTHFS"	"ENSG00000136371"	"15"
"478"	"NME6"	10201	213	"NME6"	"ENSG00000172113"	"3"
"479"	"EIF3CL"	728689	213	"EIF3CL"	"ENSG00000205609"	"16"
"480"	"KCTD10"	83892	212	"KCTD10"	"ENSG00000110906"	"12"
"481"	"TMEM163"	81615	212	"TMEM163"	"ENSG00000152128"	"2"
"482"	"CENPP"	401541	212	"CENPP"	"ENSG00000188312"	"9"
"483"	"MED19"	219541	211	"MED19"	"ENSG00000156603"	"11"
"484"	"SERPIND1"	3053	211	"SERPIND1"	"ENSG00000099937"	"22"
"485"	"WRB"	7485	211	"GET1"	"ENSG00000182093"	"21"
"486"	"LOC647946"	647946	211	"MIR924HG"	"ENSG00000267374"	"18"
"487"	"AP4E1"	23431	210	"AP4E1"	"ENSG00000081014"	"15"
"488"	"CLEC2D"	29121	210	"CLEC2D"	"ENSG00000069493"	"12"
"489"	"TMEM60"	85025	210	"TMEM60"	"ENSG00000135211"	"7"
"490"	"RAB33B"	83452	210	"RAB33B"	"ENSG00000172007"	"4"
"491"	"NDUFV3"	4731	209	"NDUFV3"	"ENSG00000160194"	"21"
"492"	"DEPDC7"	91614	209	"DEPDC7"	"ENSG00000121690"	"11"
"493"	"TRAF1"	7185	208	"TRAF1"	"ENSG00000056558"	"9"
"494"	"OR2A9P"	441295	208	NA	NA	NA
"495"	"WBSCR27"	155368	208	"METTL27"	"ENSG00000165171"	"7"
"496"	"SERINC2"	347735	208	"SERINC2"	"ENSG00000168528"	"1"
"497"	"KLRC2"	3822	207	"KLRC2"	"ENSG00000205809"	"12"
"498"	"MMACHC"	25974	207	"MMACHC"	"ENSG00000132763"	"1"
"499"	"EIF3C"	8663	207	"EIF3C"	"ENSG00000184110"	"16"
"500"	"DKKL1"	27120	206	"DKKL1"	"ENSG00000104901"	"19"
"501"	"CEBPZ"	10153	206	"CEBPZ"	"ENSG00000115816"	"2"
"502"	"PENK"	5179	206	"PENK"	"ENSG00000181195"	"8"
"503"	"ZNF184"	7738	206	"ZNF184"	"ENSG00000096654"	"6"
"504"	"CHST13"	166012	206	"CHST13"	"ENSG00000180767"	"3"
"505"	"CPS1"	1373	205	"CPS1"	"ENSG00000021826"	"2"
"506"	"FUT10"	84750	205	"FUT10"	"ENSG00000172728"	"8"
"507"	"POLR1B"	84172	205	"POLR1B"	"ENSG00000125630"	"2"
"508"	"CRIPT"	9419	205	"CRIPT"	"ENSG00000119878"	"2"
"509"	"KIAA0090"	23065	204	"EMC1"	"ENSG00000127463"	"1"
"510"	"DCTN5"	84516	204	"DCTN5"	"ENSG00000166847"	"16"
"511"	"RPAP2"	79871	204	"RPAP2"	"ENSG00000122484"	"1"
"512"	"CCDC155"	147872	203	"KASH5"	"ENSG00000161609"	"19"
"513"	"OR56A3"	390083	203	"OR56A3"	"ENSG00000184478"	"11"
"514"	"FABP3"	2170	203	"FABP3"	"ENSG00000121769"	"1"
"515"	"CLEC12A"	160364	203	"CLEC12A"	"ENSG00000172322"	"12"
"516"	"C18orf10"	25941	202	"TPGS2"	"ENSG00000134779"	"18"
"517"	"CCDC18"	343099	202	"CCDC18"	"ENSG00000122483"	"1"
"518"	"LOC650623"	650623	201	NA	NA	NA
"519"	"RPSA"	3921	201	"RPSA"	"ENSG00000168028"	"3"
"520"	"C15orf51"	196968	200	"DNM1P46"	"ENSG00000182397"	"15"
"521"	"SLMO1"	10650	200	"PRELID3A"	"ENSG00000141391"	"18"
"522"	"OR13A1"	79290	200	"OR13A1"	"ENSG00000256574"	"10"
"523"	"CAT"	847	200	"CAT"	"ENSG00000121691"	"11"
"524"	"PCBP3"	54039	199	"PCBP3"	"ENSG00000183570"	"21"
"525"	"OAS1"	4938	199	"OAS1"	"ENSG00000089127"	"12"
"526"	"ZP3"	7784	199	"ZP3"	"ENSG00000188372"	"7"
"527"	"STAC"	6769	199	"STAC"	"ENSG00000144681"	"3"
"528"	"C2orf27A"	29798	198	NA	NA	NA
"529"	"PCNX"	22990	198	"PCNX1"	"ENSG00000100731"	"14"
"530"	"LRRC69"	100130742	198	"LRRC69"	"ENSG00000214954"	"8"
"531"	"CCDC111"	201973	197	"PRIMPOL"	"ENSG00000164306"	"4"
"532"	"ZNF79"	7633	197	"ZNF79"	"ENSG00000196152"	"9"
"533"	"POLR1E"	64425	197	"POLR1E"	"ENSG00000137054"	"9"
"534"	"MED21"	9412	197	"MED21"	"ENSG00000152944"	"12"
"535"	"ANO7"	50636	197	"ANO7"	"ENSG00000146205"	"2"
"536"	"NRBP1"	29959	197	"NRBP1"	"ENSG00000115216"	"2"
"537"	"LDHC"	3948	197	"LDHC"	"ENSG00000166796"	"11"
"538"	"OR2A1"	346528	196	"OR2A1"	"ENSG00000221970"	"7"
"539"	"FAM149B1"	317662	196	"FAM149B1"	"ENSG00000138286"	"10"
"540"	"HSPA4"	3308	196	"HSPA4"	"ENSG00000170606"	"5"
"541"	"RRP12"	23223	196	"RRP12"	"ENSG00000052749"	"10"
"542"	"GATC"	283459	195	"GATC"	"ENSG00000257218"	"12"
"543"	"COQ5"	84274	194	"COQ5"	"ENSG00000110871"	"12"
"544"	"OPA1"	4976	194	"OPA1"	"ENSG00000198836"	"3"
"545"	"TACR2"	6865	194	"TACR2"	"ENSG00000075073"	"10"
"546"	"LCT"	3938	194	"LCT"	"ENSG00000115850"	"2"
"547"	"C2orf3"	6936	193	"GCFC2"	"ENSG00000005436"	"2"
"548"	"TPRKB"	51002	193	"TPRKB"	"ENSG00000144034"	"2"
"549"	"C2orf82"	389084	192	"SNORC"	"ENSG00000182600"	"2"
"550"	"MDGA1"	266727	192	"MDGA1"	"ENSG00000112139"	"6"
"551"	"PET112L"	5188	192	"GATB"	"ENSG00000059691"	"4"
"552"	"GPR113"	165082	192	"ADGRF3"	"ENSG00000173567"	"2"
"553"	"LOC284900"	284900	192	"TTC28-AS1"	"ENSG00000235954"	"22"
"554"	"C9orf5"	23731	191	"TMEM245"	"ENSG00000106771"	"9"
"555"	"CCDC90B"	60492	191	"CCDC90B"	"ENSG00000137500"	"11"
"556"	"KLRC1"	3821	190	"KLRC1"	"ENSG00000134545"	"12"
"557"	"LOC284551"	284551	190	NA	NA	NA
"558"	"KLRG1"	10219	190	"KLRG1"	"ENSG00000139187"	"12"
"559"	"SUCLA2"	8803	190	"SUCLA2"	"ENSG00000136143"	"13"
"560"	"SIGLEC11"	114132	190	"SIGLEC11"	"ENSG00000161640"	"19"
"561"	"PLOD2"	5352	189	"PLOD2"	"ENSG00000152952"	"3"
"562"	"CRISP3"	10321	189	"CRISP3"	"ENSG00000096006"	"6"
"563"	"MRPL42P5"	359821	189	NA	NA	NA
"564"	"C2orf73"	129852	189	"C2orf73"	"ENSG00000177994"	"2"
"565"	"GFM1"	85476	189	"GFM1"	"ENSG00000168827"	"3"
"566"	"C1orf84"	149469	189	NA	NA	NA
"567"	"FAM82A1"	151393	189	"RMDN2"	"ENSG00000115841"	"2"
"568"	"PRIM2"	5558	188	"PRIM2"	"ENSG00000146143"	"6"
"569"	"NUP210L"	91181	188	"NUP210L"	"ENSG00000143552"	"1"
"570"	"ARHGEF19"	128272	188	"ARHGEF19"	"ENSG00000142632"	"1"
"571"	"NDUFS2"	4720	188	"NDUFS2"	"ENSG00000158864"	"1"
"572"	"CDC25A"	993	187	"CDC25A"	"ENSG00000164045"	"3"
"573"	"C10orf4"	118924	187	"FRA10AC1"	"ENSG00000148690"	"10"
"574"	"IPO8"	10526	187	"IPO8"	"ENSG00000133704"	"12"
"575"	"GOLT1B"	51026	187	"GOLT1B"	"ENSG00000111711"	"12"
"576"	"HARS2"	23438	187	"HARS2"	"ENSG00000112855"	"5"
"577"	"PDPK1"	5170	187	"PDPK1"	"ENSG00000140992"	"16"
"578"	"SLC9A8"	23315	186	"SLC9A8"	"ENSG00000197818"	"20"
"579"	"PEX6"	5190	186	"PEX6"	"ENSG00000124587"	"6"
"580"	"RINT1"	60561	186	"RINT1"	"ENSG00000135249"	"7"
"581"	"VWA2"	340706	186	"VWA2"	"ENSG00000165816"	"10"
"582"	"MRPL21"	219927	186	"MRPL21"	"ENSG00000197345"	"11"
"583"	"ACTN3"	89	185	"ACTN3"	"ENSG00000248746"	"11"
"584"	"C12orf32"	83695	185	"RHNO1"	"ENSG00000171792"	"12"
"585"	"SIGLEC16"	400709	185	"SIGLEC16"	"ENSG00000161643"	"19"
"586"	"TMEM156"	80008	184	"TMEM156"	"ENSG00000121895"	"4"
"587"	"TG"	7038	184	"TG"	"ENSG00000042832"	"8"
"588"	"NIPAL4"	348938	184	"NIPAL4"	"ENSG00000172548"	"5"
"589"	"SLC4A7"	9497	184	"SLC4A7"	"ENSG00000033867"	"3"
"590"	"SCGN"	10590	183	"SCGN"	"ENSG00000079689"	"6"
"591"	"SH3BGR"	6450	183	"SH3BGR"	"ENSG00000185437"	"21"
"592"	"RNASET2"	8635	183	"RNASET2"	"ENSG00000026297"	"6"
"593"	"PAX8"	7849	183	"PAX8"	"ENSG00000125618"	"2"
"594"	"SLC5A11"	115584	183	"SLC5A11"	"ENSG00000158865"	"16"
"595"	"C3orf15"	89876	183	"CFAP91"	"ENSG00000183833"	"3"
"596"	"NDUFA10"	4705	183	"NDUFA10"	"ENSG00000130414"	"2"
"597"	"SNX16"	64089	183	"SNX16"	"ENSG00000104497"	"8"
"598"	"PNPT1"	87178	183	"PNPT1"	"ENSG00000138035"	"2"
"599"	"TMEM115"	11070	183	"TMEM115"	"ENSG00000126062"	"3"
